ID	chrom	loc.start	loc.end	num.mark	seg.mean
TCGA-A8-A0A7	1	62920	13388993	6537	-0.0034
TCGA-A8-A0A7	1	13389302	13391364	3	-1.4492
TCGA-A8-A0A7	1	13397641	16689764	2143	-0.0121
TCGA-A8-A0A7	1	16718963	16934753	69	0.4023
TCGA-A8-A0A7	1	16934768	65010896	29270	2e-04
TCGA-A8-A0A7	1	65014551	65021400	2	-2.1722
TCGA-A8-A0A7	1	65023398	72303233	4759	0.0229
TCGA-A8-A0A7	1	72303253	72345465	45	1.4498
TCGA-A8-A0A7	1	72346221	75585159	1932	0.0423
TCGA-A8-A0A7	1	75589078	75589169	2	-2.8552
TCGA-A8-A0A7	1	75593824	109690352	21676	0.0302
TCGA-A8-A0A7	1	109690415	109697533	11	-0.7879
TCGA-A8-A0A7	1	109697556	121705338	7137	0.0057
TCGA-A8-A0A7	1	143459641	143811517	120	-0.7278
TCGA-A8-A0A7	1	143890323	152580550	2319	-0.0136
TCGA-A8-A0A7	1	152582700	152618486	42	0.4064
TCGA-A8-A0A7	1	152618548	152789809	168	-0.0593
TCGA-A8-A0A7	1	152789918	152795447	22	0.5036
TCGA-A8-A0A7	1	152795471	169017063	11101	0.0043
TCGA-A8-A0A7	1	169017136	169017882	3	-1.7998
TCGA-A8-A0A7	1	169017973	189679027	13640	0.0153
TCGA-A8-A0A7	1	189679353	189679397	2	-2.1472
TCGA-A8-A0A7	1	189682917	196762956	4742	0.0469
TCGA-A8-A0A7	1	196769493	196847600	58	-0.4445
TCGA-A8-A0A7	1	196854187	248574146	35640	0.0103
TCGA-A8-A0A7	1	248585893	248633912	32	-0.7137
TCGA-A8-A0A7	1	248645563	248930189	141	0.0483
TCGA-A8-A0A7	2	12784	34295406	23995	0.0072
TCGA-A8-A0A7	2	34298911	34300513	2	-2.6275
TCGA-A8-A0A7	2	34300900	35742057	1010	0.0209
TCGA-A8-A0A7	2	35742319	35762881	10	0.7167
TCGA-A8-A0A7	2	35772407	52527743	12135	0.0177
TCGA-A8-A0A7	2	52531615	52554188	26	-0.4379
TCGA-A8-A0A7	2	52554236	88967355	22691	0.0187
TCGA-A8-A0A7	2	88970247	88971739	2	-2.831
TCGA-A8-A0A7	2	88975303	110682702	8947	0.0063
TCGA-A8-A0A7	2	110683320	110683628	2	-2.1604
TCGA-A8-A0A7	2	110683736	128880504	11186	0.0135
TCGA-A8-A0A7	2	128880904	128882741	15	-2.3006
TCGA-A8-A0A7	2	128882755	146106889	10420	0.0156
TCGA-A8-A0A7	2	146107015	146109366	20	0.9326
TCGA-A8-A0A7	2	146120238	241841244	58947	0.0267
TCGA-A8-A0A7	2	241973315	242095460	103	-0.9967
TCGA-A8-A0A7	2	242095518	242147305	23	0.0937
TCGA-A8-A0A7	3	20930	182919	154	0.0895
TCGA-A8-A0A7	3	188339	191117	4	-3.8132
